,city,province,address,nearest_city
0,Mortsel,antwerp,Antwerpsestraat 74 2,Antwerp
1,Turnhout,antwerp,Rubensstraat 3 8,Antwerp
2,Mortsel,antwerp,Liersesteenweg 254 1,Antwerp
3,Wilrijk,antwerp,Kruishofstraat 146 8C,Antwerp
4,Wilrijk,antwerp,Kruishofstraat 146 4E,Antwerp
5,Mortsel,antwerp,Liersesteenweg 256 1L,Antwerp
6,Borgerhout,antwerp,Bleekhofstraat 117 23/5c,Antwerp
7,Mortsel,antwerp,Liersesteenweg 256 GLV,Antwerp
8,Ramsel,antwerp,Maasvelden 14-16,Leuven
9,Mortsel,antwerp,Liersesteenweg 254 2,Antwerp
10,Turnhout,antwerp,Duifhuisstraat 3 4,Antwerp
11,Ekeren,antwerp,Jozef Ickxstraat 28,Antwerp
12,Oud-Turnhout,antwerp,Steenweg op Sevendonk 3 1,Antwerp
13,Balen,antwerp,Nieuwendijk,Leuven
14,Turnhout,antwerp,Korte Begijnenstraat 8 6,Antwerp
15,Herselt,antwerp,De Schrieken 49,Leuven
16,Arendonk,antwerp,Hovestraat 2 5,Antwerp
17,Arendonk,antwerp,Hovestraat 2 2,Antwerp
18,Deurne,antwerp,Wouter Haecklaan 1 39,Antwerp
19,Gierle,antwerp,Patrijzenpad,Antwerp
20,Herselt,antwerp,Achter de Wereld 6K,Leuven
21,Turnhout,antwerp,Korte Gasthuisstraat 30 7,Antwerp
22,Deurne,antwerp,Cogelsplein 26 301,Antwerp
23,Mortsel,antwerp,Mechelsesteenweg 132 2,Antwerp
24,Geel,antwerp,Patronaatstraat 27 F,Leuven
25,Turnhout,antwerp,Merode-Center 2 2,Antwerp
26,Berchem,antwerp,Fruithoflaan 98 19,Antwerp
27,Turnhout,antwerp,Korte Veldstraat 1,Antwerp
28,Herselt,antwerp,Kiekuitstraat 2,Leuven
29,Merksem,antwerp,Pallieterstraat 3 201,Antwerp
30,Mortsel,antwerp,Liersesteenweg 254 GLV,Antwerp
31,Heist-op-den-Berg,antwerp,Boudewijnlaan 9,Leuven
32,Turnhout,antwerp,Lodewijk de Koninckstraat 10,Antwerp
33,Deurne,antwerp,Ruggeveldlaan 503 3V,Antwerp
34,Turnhout,antwerp,schorvoortstraat 6 2,Antwerp
35,Deurne,antwerp,Hendrik Van Uffelslaan 10-12 301,Antwerp
36,Morkhoven,antwerp,Berteneinde 19,Leuven
37,Mechelen,antwerp,Leopoldstraat 80 402,Brussels
38,Geel,antwerp,Larum 58b,Leuven
39,Merksem,antwerp,Flamingostraat 17 201,Antwerp
40,Merksem,antwerp,Groenendaallaan 89 7,Antwerp
41,Merksem,antwerp,Van Heybeeckstraat 1 101,Antwerp
42,Boom,antwerp,Kapelstraat 8,Antwerp
43,Merksem,antwerp,Lambrechtshoekenlaan 209 1106,Antwerp
44,Antwerp,antwerp,Joannasteeg 6,Antwerp
45,Deurne,antwerp,Van Duyststraat 151 11B,Antwerp
46,Deurne,antwerp,Alfons Schneiderlaan 167 3V,Antwerp
47,Merksem,antwerp,Bredabaan 874 5,Antwerp
48,Turnhout,antwerp,Dessauerplein 1,Antwerp
49,Beerzel,antwerp,Hoogstraat 46,Leuven
50,Boom,antwerp,Henri Spillemaeckersstraat 7 009A,Antwerp
51,Merksem,antwerp,Campiniastraat 78 1V,Antwerp
52,Wommelgem,antwerp,Autolei 83 2V,Antwerp
53,Deurne,antwerp,Ter Heydelaan 133 5,Antwerp
54,Deurne,antwerp,Bisschoppenhoflaan 303 501,Antwerp
55,Deurne,antwerp,Bisschoppenhoflaan 289,Antwerp
56,Turnhout,antwerp,Dessauerplein 1,Antwerp
57,Mol,antwerp,Kromstraat 15,Leuven
58,Herentals,antwerp,Nederrij 89,Antwerp
59,Beerzel,antwerp,Hoogstraat 135,Leuven
60,Turnhout,antwerp,Dessauerplein 1,Antwerp
61,Turnhout,antwerp,Dessauerplein 1,Antwerp
62,Turnhout,antwerp,Kerkplein 32-34,Antwerp
63,Turnhout,antwerp,Dessauerplein 1,Antwerp
