,city,province,address,nearest_city
0,Deurne,antwerp,Bisschoppenhoflaan 289,Antwerp
1,Boom,antwerp,Nielsestraat 192,Antwerp
2,Turnhout,antwerp,Duifhuisstraat 3 4,Antwerp
3,Morkhoven,antwerp,Berteneinde 19,Leuven
4,Beerzel,antwerp,Hoogstraat 46,Leuven
5,Geel,antwerp,Larum 58b,Leuven
6,Beerzel,antwerp,Hoogstraat 135,Leuven
7,Oud-Turnhout,antwerp,Steenweg op Sevendonk 3 1,Antwerp
8,Willebroek,antwerp,Dendermondsesteenweg 129 A,Antwerp
9,Boom,antwerp,Henri Spillemaeckersstraat 7 009A,Antwerp
10,Berchem,antwerp,Fruithoflaan 98 19,Antwerp
11,Herentals,antwerp,Herenthoutseweg 85 1C,Antwerp
12,Turnhout,antwerp,Dessauerplein 1,Antwerp
13,Turnhout,antwerp,Dessauerplein 1,Antwerp
14,Turnhout,antwerp,Kerkplein 32-34,Antwerp
15,Herentals,antwerp,Nederrij 89,Antwerp
16,Herentals,antwerp,Nederrij 87,Antwerp
17,Balen,antwerp,Nieuwendijk,Leuven
18,Boom,antwerp,Kapelstraat 8,Antwerp
19,Geel,antwerp,Patronaatstraat 27 F,Leuven
20,Antwerp,antwerp,Joannasteeg 6,Antwerp
21,Deurne,antwerp,Ter Heydelaan 133 5,Antwerp
22,Berchem,antwerp,De Roest d'Alkemadelaan 5 82,Antwerp
23,Mechelen,antwerp,Leopoldstraat 80 402,Brussels
24,Mol,antwerp,Kromstraat 15,Leuven
25,Borgerhout,antwerp,Eugeen Joorsstraat 11,Antwerp
26,Beerzel,antwerp,Hoogstraat 133,Leuven
27,Antwerp,antwerp,Maurits Sabbelaan 7 201,Antwerp
28,Turnhout,antwerp,Dessauerplein 1,Antwerp
29,Deurne,antwerp,Bisschoppenhoflaan 303 501,Antwerp
30,Turnhout,antwerp,Dessauerplein 1,Antwerp
31,Lier,antwerp,Kapmes 8 2,Antwerp
32,Turnhout,antwerp,Dessauerplein 1,Antwerp
33,Turnhout,antwerp,Dessauerplein 1,Antwerp
34,Turnhout,antwerp,Dessauerplein 1,Antwerp
35,Antwerp,antwerp,Berchemlei 75 201,Antwerp
36,Hoboken,antwerp,Sint-Bernardsesteenweg 629 301,Antwerp
37,Antwerp,antwerp,Pothoekstraat 35 4,Antwerp
38,Deurne,antwerp,Ergo-de Waellaan 4 201,Antwerp
39,Turnhout,antwerp,steenweg op oosthoven 54,Antwerp
40,Antwerp,antwerp,Helenalei 24A 045,Antwerp
41,Deurne,antwerp,Cogelsplein 26 301,Antwerp
42,Essen,antwerp,Stationsstraat 52 2,Antwerp
43,Deurne,antwerp,Van Duyststraat 151 11B,Antwerp
44,Turnhout,antwerp,Dessauerplein 1,Antwerp
45,Herentals,antwerp,Herenthoutseweg 85 1D,Antwerp
46,Deurne,antwerp,Baron Leroystraat 34 101,Antwerp
47,Deurne,antwerp,Ter Heydelaan 344 7,Antwerp
48,Hoboken,antwerp,Meerlenhoflaan 13 2,Antwerp
49,Turnhout,antwerp,Korte Gasthuisstraat 30 7,Antwerp
50,Antwerp,antwerp,Leopoldstraat 63 13,Antwerp
51,Merksem,antwerp,Lambrechtshoekenlaan 209 1106,Antwerp
52,Heist-op-den-Berg,antwerp,Boudewijnlaan 9,Leuven
53,Antwerp,antwerp,Bexstraat 19 9,Antwerp
54,Arendonk,antwerp,Hovestraat 2 5,Antwerp
55,Antwerp,antwerp,Helenalei 24A 011,Antwerp
56,Deurne,antwerp,Alfons Schneiderlaan 167 3V,Antwerp
57,Merksem,antwerp,Campiniastraat 78 1V,Antwerp
58,Merksem,antwerp,Groenendaallaan 89 7,Antwerp
59,Antwerp,antwerp,Kempisch Dok Oostkaai 33,Antwerp
60,Mol,antwerp,Kiezelweg,Leuven
61,Antwerp,antwerp,Dambruggestraat 68 3,Antwerp
62,Mortsel,antwerp,Liersesteenweg 256 GLV,Antwerp
63,Antwerp,antwerp,Diepestraat 65 201,Antwerp
64,Turnhout,antwerp,Merode-Center 2 2,Antwerp
65,Turnhout,antwerp,Korte Begijnenstraat 8 6,Antwerp
66,Kontich,antwerp,Koningin Astridlaan 37,Antwerp
